en,tn,tkgid,tkseq,type,state
H'8630,1,PRACEBE0418,1,BOTHWAY,EXTBLK
H'8630,2,PRACEBE0418,2,BOTHWAY,EXTBLK
H'8630,3,PRACEBE0418,3,BOTHWAY,EXTBLK
H'8630,4,PRACEBE0418,4,BOTHWAY,EXTBLK
H'8630,5,PRACEBE0418,5,BOTHWAY,EXTBLK
H'8630,6,PRACEBE0418,6,BOTHWAY,EXTBLK
H'8630,7,PRACEBE0418,7,BOTHWAY,EXTBLK
H'8630,8,PRACEBE0418,8,BOTHWAY,EXTBLK
H'8630,9,PRACEBE0418,9,BOTHWAY,EXTBLK
H'8630,10,PRACEBE0418,10,BOTHWAY,EXTBLK
H'8630,11,PRACEBE0418,11,BOTHWAY,EXTBLK
H'8630,12,PRACEBE0418,12,BOTHWAY,EXTBLK
H'8630,13,PRACEBE0418,13,BOTHWAY,EXTBLK
H'8630,14,PRACEBE0418,14,BOTHWAY,EXTBLK
H'8630,15,PRACEBE0418,15,BOTHWAY,EXTBLK
H'8630,17,PRACEBE0418,17,BOTHWAY,EXTBLK
H'8630,18,PRACEBE0418,18,BOTHWAY,EXTBLK
H'8630,19,PRACEBE0418,19,BOTHWAY,EXTBLK
H'8630,20,PRACEBE0418,20,BOTHWAY,EXTBLK
H'8630,21,PRACEBE0418,21,BOTHWAY,EXTBLK
H'8630,22,PRACEBE0418,22,BOTHWAY,EXTBLK
H'8630,23,PRACEBE0418,23,BOTHWAY,EXTBLK
H'8630,24,PRACEBE0418,24,BOTHWAY,EXTBLK
H'8630,25,PRACEBE0418,25,BOTHWAY,EXTBLK
H'8630,26,PRACEBE0418,26,BOTHWAY,EXTBLK
H'8630,27,PRACEBE0418,27,BOTHWAY,EXTBLK
H'8630,28,PRACEBE0418,28,BOTHWAY,EXTBLK
H'8630,29,PRACEBE0418,29,BOTHWAY,EXTBLK
H'8630,30,PRACEBE0418,30,BOTHWAY,EXTBLK
H'8630,31,PRACEBE0418,31,BOTHWAY,EXTBLK
H'8631,1,PRACEBE0428,1,BOTHWAY,EXTBLK
H'8631,2,PRACEBE0428,2,BOTHWAY,EXTBLK
H'8631,3,PRACEBE0428,3,BOTHWAY,EXTBLK
H'8631,4,PRACEBE0428,4,BOTHWAY,EXTBLK
H'8631,5,PRACEBE0428,5,BOTHWAY,EXTBLK
